file,mixture,label,h1_file,epoch,train_loss,penalty,eval_mse,h1,h_n,lr,loss
mixture1_MLP_20_sigmoid_outReLU_h1_12p00.txt,1,MLP_20_sigmoid_outReLU,12.0,2400,0.006908421,,0.0002411654,12.0,1.35011,0.005,mse
mixture1_MLP_20_sigmoid_outReLU_h1_12p00.txt,1,MLP_20_sigmoid_outReLU,12.0,2500,0.006194699,,0.0002405775,12.0,1.35011,0.005,mse
mixture1_MLP_20_sigmoid_outReLU_h1_12p00.txt,1,MLP_20_sigmoid_outReLU,12.0,2600,0.005607444,,0.0002401986,12.0,1.35011,0.005,mse
mixture1_MLP_20_sigmoid_outReLU_h1_12p00.txt,1,MLP_20_sigmoid_outReLU,12.0,2700,0.005120271,,0.0002399788,12.0,1.35011,0.005,mse
mixture1_MLP_20_sigmoid_outReLU_h1_12p00.txt,1,MLP_20_sigmoid_outReLU,12.0,2800,0.00471257,,0.0002398817,12.0,1.35011,0.005,mse
mixture1_MLP_20_sigmoid_outReLU_h1_12p00.txt,1,MLP_20_sigmoid_outReLU,12.0,2900,0.004368133,,0.0002398802,12.0,1.35011,0.005,mse
mixture1_MLP_20_sigmoid_outReLU_h1_12p00.txt,1,MLP_20_sigmoid_outReLU,12.0,3000,0.004074029,,0.0002399543,12.0,1.35011,0.005,mse
mixture1_MLP_20_sigmoid_outReLU_h1_12p00.txt,1,MLP_20_sigmoid_outReLU,12.0,3100,0.003819894,,0.0002400896,12.0,1.35011,0.005,mse
mixture1_MLP_20_sigmoid_outReLU_h1_12p00.txt,1,MLP_20_sigmoid_outReLU,12.0,3200,0.003597189,,0.000240275,12.0,1.35011,0.005,mse
mixture1_MLP_20_sigmoid_outReLU_h1_12p00.txt,1,MLP_20_sigmoid_outReLU,12.0,3300,0.003398792,,0.0002405026,12.0,1.35011,0.005,mse
mixture1_MLP_20_sigmoid_outReLU_h1_12p00.txt,1,MLP_20_sigmoid_outReLU,12.0,3400,0.003218615,,0.0002407663,12.0,1.35011,0.005,mse
mixture1_MLP_20_sigmoid_outReLU_h1_12p00.txt,1,MLP_20_sigmoid_outReLU,12.0,0,0.9864352,,0.001085089,12.0,1.35011,0.005,relative
mixture1_MLP_20_sigmoid_outReLU_h1_12p00.txt,1,MLP_20_sigmoid_outReLU,12.0,100,0.08570053,,0.0006308986,12.0,1.35011,0.005,relative
mixture1_MLP_20_sigmoid_outReLU_h1_12p00.txt,1,MLP_20_sigmoid_outReLU,12.0,200,0.06162218,,0.0006359753,12.0,1.35011,0.005,relative
mixture1_MLP_20_sigmoid_outReLU_h1_12p00.txt,1,MLP_20_sigmoid_outReLU,12.0,300,0.04190958,,0.000627171,12.0,1.35011,0.005,relative
mixture1_MLP_20_sigmoid_outReLU_h1_12p00.txt,1,MLP_20_sigmoid_outReLU,12.0,400,0.03092666,,0.0006159129,12.0,1.35011,0.005,relative
mixture1_MLP_20_sigmoid_outReLU_h1_12p00.txt,1,MLP_20_sigmoid_outReLU,12.0,500,0.02544349,,0.000602703,12.0,1.35011,0.005,relative
mixture1_MLP_20_sigmoid_outReLU_h1_12p00.txt,1,MLP_20_sigmoid_outReLU,12.0,600,0.02233107,,0.0005874232,12.0,1.35011,0.005,relative
mixture1_MLP_20_sigmoid_outReLU_h1_12p00.txt,1,MLP_20_sigmoid_outReLU,12.0,700,0.01977709,,0.0005681047,12.0,1.35011,0.005,relative
mixture1_MLP_20_sigmoid_outReLU_h1_12p00.txt,1,MLP_20_sigmoid_outReLU,12.0,800,0.01682321,,0.0005401557,12.0,1.35011,0.005,relative
mixture1_MLP_20_sigmoid_outReLU_h1_12p00.txt,1,MLP_20_sigmoid_outReLU,12.0,900,0.01295961,,0.0004986136,12.0,1.35011,0.005,relative
mixture1_MLP_20_sigmoid_outReLU_h1_12p00.txt,1,MLP_20_sigmoid_outReLU,12.0,1000,0.008650884,,0.0004453578,12.0,1.35011,0.005,relative
mixture1_MLP_20_sigmoid_outReLU_h1_12p00.txt,1,MLP_20_sigmoid_outReLU,12.0,1100,0.00505991,,0.000394691,12.0,1.35011,0.005,relative
mixture1_MLP_20_sigmoid_outReLU_h1_12p00.txt,1,MLP_20_sigmoid_outReLU,12.0,1200,0.002766911,,0.000358928,12.0,1.35011,0.005,relative
mixture1_MLP_20_sigmoid_outReLU_h1_12p00.txt,1,MLP_20_sigmoid_outReLU,12.0,1300,0.001509573,,0.0003389166,12.0,1.35011,0.005,relative
mixture1_MLP_20_sigmoid_outReLU_h1_12p00.txt,1,MLP_20_sigmoid_outReLU,12.0,1400,0.0008456748,,0.0003296711,12.0,1.35011,0.005,relative
mixture1_MLP_20_sigmoid_outReLU_h1_12p00.txt,1,MLP_20_sigmoid_outReLU,12.0,1500,0.0005045016,,0.0003255837,12.0,1.35011,0.005,relative
mixture1_MLP_20_sigmoid_outReLU_h1_12p00.txt,1,MLP_20_sigmoid_outReLU,12.0,1600,0.0003356655,,0.0003232334,12.0,1.35011,0.005,relative
mixture1_MLP_20_sigmoid_outReLU_h1_12p00.txt,1,MLP_20_sigmoid_outReLU,12.0,1700,0.0002520135,,0.0003213839,12.0,1.35011,0.005,relative
